id,"name","powerstats__intelligence","powerstats__strength","powerstats__speed","powerstats__durability","powerstats__power","powerstats__combat","biography__full-name","biography__alter-egos","biography__aliases__001","biography__place-of-birth","biography__first-appearance","biography__publisher","biography__alignment","appearance__gender","appearance__race","appearance__height__001","appearance__height__002","appearance__weight__001","appearance__weight__002","appearance__eye-color","appearance__hair-color","work__occupation","work__base","connections__group-affiliation","connections__relatives","biography__aliases__002",biography__aliases__003,biography__aliases__004,biography__aliases__005,biography__aliases__006,"biography__aliases__007","biography__aliases__008","biography__aliases__009","biography__aliases__010","biography__aliases__011","biography__aliases__012","biography__aliases__013","biography__aliases__014","biography__aliases__015","biography__aliases__016","biography__aliases__017","biography__aliases__018","biography__aliases__019","biography__aliases__020"
12,"Air-Walker","50","85","100","85","100","40","Gabriel Lan","No alter egos found.","-","Xandar, a planet in the Tranta system, Andromeda galaxy","Fantastic Four #120","Marvel Comics","bad","Male","null","6'2","188 cm","240 lb","108 kg","Blue","White","Former starship captain, Herald of Galactus","-","Former member of Nova Corps, Heralds of Galactus","-",,,,,,,,,,,,,,,,,,,
13,"Ajax","56","48","35","80","34","55","Francis","No alter egos found.","""Frankie""","-","Deadpool #14 (March, 1998)","Marvel Comics","bad","Male","Cyborg","6'4","193 cm","200 lb","90 kg","Brown","Black","-","-","Formerly Weapon X","-","the A-Man",the Attending,,,,,,,,,,,,,,,,,
14,"Alan Scott","63","80","23","90","100","32","Alan Ladd Wellington Scott","No alter egos found.","Green Lantern","Gotham City","All-American Comics 16 (1940)","DC Comics","good","Male","null","5'11","180 cm","201 lb","90 kg","Blue","Blond","-","Gotham City and New York City; Formerly Capitol City","Justice Society of America; Formerly Checkmate; the Sentinels of Magic; Formerly All-Star Squadron","Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)","White King",Sentinal,,,,,,,,,,,,,,,,,
15,"Alex Mercer","50","80","42","90","100","50","Alexander J. Mercer","No alter egos found.","Prototype","-","-","Wildstorm","bad","Male","Human","-","0 cm","- lb","0 kg","-","-","-","-","Gentek, The Infected","Dana Mercer (sister)","Zues",Blacklight,,,,,,,,,,,,,,,,,
16,"Alex Woolsly","null","37","null","null","null","null","Alex Woolsly","No alter egos found.","-","-","Heroes S02E16 - Building 26","NBC - Heroes","good","Male","null","-","0 cm","- lb","0 kg","-","-","Employee at Sam's Comics","Costa Verde, CA","-","Mr. Woolsly, Mrs. Woolsly, sister",,,,,,,,,,,,,,,,,,,
17,"Alfred Pennyworth","63","10","17","10","7","55","Alfred Thaddeus Crane Pennyworth","No alter egos found.","Alfred Beagle","-","Batman #16 (April, 1943)","DC Comics","good","Male","Human","5'10","178 cm","160 lb","72 kg","Blue","Black","Butler; Caretaker, former Actor; Field Medic; Government Agent","Wayne Manor; Batcave; Gotham City","Batman Family, Outsiders","Jarvis Pennyworth (father, deceased), Wilfred Pennyworth (older brother), Daphne Pennyworth (niece); Bruce Wayne (Batman, legal ward)",,,,,,,,,,,,,,,,,,,
18,"Alien","50","28","42","90","57","60","Xenomorph","No alter egos found.","-","Your chest :)","Alien (1979)","Dark Horse Comics","bad","Male","Xenomorph XX121","8'0","244 cm","375 lb","169 kg","-","No Hair","-","-","-","Alien Queen (mother)",,,,,,,,,,,,,,,,,,,
19,"Allan Quatermain","null","null","null","null","null","null",,"No alter egos found.","-","-","(original version) King Solomon's Mines; (this version) League of Extraordinary Gentlemen #1 (America's Best Comics)","Wildstorm","good","Male","null","-","0 cm","- lb","0 kg","-","-","(former) hunter; (current) agent of the British government","The Secret Wing of the British Museum, London","League of Extraordinary Gentlemen","-",,,,,,,,,,,,,,,,,,,
20,"Amazo","63","100","83","100","100","100",,"No alter egos found.","Professor Ivos Amazing Android","-","Brave and the Bold #30 (July, 1960)","DC Comics","bad","Male","Android","8'5","257 cm","385 lb","173 kg","Red","-","-","-","Formerly the Secret Society of Super Villains","Professor Ivo (creator), Kid Amazo (cyborg offspring)","Timazo",Humazo,Hourmazo,,,,,,,,,,,,,,,,
21,"Ammo","null","null","null","null","null","null",,"No alter egos found.","-","-","Daredevil #252 (March, 1988)","Marvel Comics","bad","Male","Human","6'2","188 cm","225 lb","101 kg","Brown","Black","Gang leader , criminal , former soldier","New York City","former leader of the Wildboys","-",,,,,,,,,,,,,,,,,,,
22,"Ando Masahashi","null","null","null","null","null","null","Ando Masahashi","No alter egos found.","Huggerz69","-","-","NBC - Heroes","good","Male","null","-","0 cm","- lb","0 kg","-","-","Yamagato Industries computer programmer","-","-","-","Sidekick",,,,,,,,,,,,,,,,,,
23,"Angel","75","30","58","90","100","75","Liam","No alter egos found.","Angelus","-","-","Dark Horse Comics","good","Male","Vampire","-","0 cm","- lb","0 kg","-","-","-","-","-","Kathy (sister), Connor (son), Twilight (""child"")","Twilight",,,,,,,,,,,,,,,,,,
24,"Angel","63","13","46","64","28","42","Warren Kenneth Worthington III","Archangel","Formerly Death","Centerport, Long Island, New York","X-Men #54-56 (1969)","Archangel","good","Male","null","6'0","183 cm","150 lb","68 kg","Blue","Blond","Adventurer, chairman & principal stockholder of Worthington Industries, former terrorist","-","X-Men, Mutantes Sans Fronti�res, Hellfire Club; formerly Secret Defenders, X-Factor/X-Terminators, Horsemen of Apocalypse, Defenders, Death's champions, Champions of Los Angeles","Warren Kenneth Worthington Sr. (grandfather, deceased), Warren Kenneth Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burtram ""Burt"" Worthington (Dazzler, paternal uncle), unnamed cousin","Dark Angel",Angel,Avenging Angel,Archangel,,,,,,,,,,,,,,,
25,"Angel Dust","38","55","23","42","17","30","Christina","No alter egos found.","Angel","-","Morlocks #1","Marvel Comics","good","Female","Mutant","5'5","165 cm","126 lb","57 kg","Yellow","Black","-","Chicago, Illinois","-","-","Dusty",,,,,,,,,,,,,,,,,,
26,"Angel Salvadore","38","10","28","28","56","60","Angel Salvadore Bohusk","Tempest","Tempest","-","New X-Men #118 (November, 2001)","Tempest","good","Female","null","5'4","163 cm","121 lb","54 kg","Brown","Black","-","-","Formerly New Warriors; Special Class","Tito Bohusk (son); Axel Bohusk (son); Kara Bohusk (daughter); three other unidentified children;",,,,,,,,,,,,,,,,,,,
27,"Angela","null","97","null","null","null","null",,"No alter egos found.","-","-","-","Image Comics","bad","Female","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
28,"Animal Man","56","48","47","85","73","80","Bernhard Baker","No alter egos found.","The Human Zoo; A-Man; The Man with Animal Powers","-","Strange Adventures #180 (September, 1965)","DC Comics","good","Male","Human","6'0","183 cm","185 lb","83 kg","Blue","Blond","-","San Diego, California","Formerly Animal Masters, Forgotten Heroes, Justice League of America, Justice League Europe","Ellen Frazier (wife), Cliff Baker (son), Maxine Baker (daughter), unnamed second daughter, Frank Baker, Jr. (father), Phyllis Baker (mother), unnamed sister, Frank, Sr (grandfather), Teddy (great grandfather), Sherman (great-great grandfather), Jack (great-great-great grandfather), Mary Frazier (mother-in-law), Dudley (uncle-in-law), Annie Cassidy (mother of second daughter), Lucy Cassidy (half-sister of second daughter)",,,,,,,,,,,,,,,,,,,
29,"Annihilus","75","80","47","56","59","64","Annihilus","No alter egos found.","The Living Death That Walks","Planet of Arthros, Sector 17A, Negative Zone","Fantastic Four Annual #6 (1968)","Marvel Comics","bad","Male","null","5'11","180 cm","200 lb","90 kg","Green","No Hair","Conqueror, scavenger","-","Sometime ally of Blastaar","Annihilus is a series of clonal scions","Lord of the Negative Zone",,,,,,,,,,,,,,,,,,
30,"Ant-Man","100","18","23","28","32","32","Hank Pym","Giant-Man, Goliath, Wasp II, Yellowjacket","Hank Pym","Elmsford, New York","Tales to Astonish #27 (January, 1962) (as Hank Pym)  Tales to Astonish #35 (September, 1962) (as Ant-Man)","Giant-Man","good","Male","Human","6'11","211 cm","270 lb","122 kg","Blue","Blond","Adventurer, Biochemist, former manager of Avengers Compound","Avengers Compound, Los Angeles; formerly Infinite Avengers Mansion; Captive aboard a Skrull ship; Avengers Mansion, New York City, New York","Avengers Academy, Secret Avengers; formerly Mighty Avengers, Avengers (founding member), Defenders, Future Iron Man's Team","-","Doctor Pym",Ant-Man,Goliath,Yellowjacket,Wasp,"Earth's Scientist Supreme",,,,,,,,,,,,,
31,"Ant-Man II","75","18","17","40","53","30","Scott Lang","No alter egos found.","Myrmidon","Coral Gables, Florida","Avengers Vol 1 #181 (March, 1979)","Marvel Comics","good","Male","Human","6'0","183 cm","190 lb","86 kg","Blue","Blond","Electronics Technician,","South Beach, Miami, Florida; formerly Farmingdale, Long Island, New York","Ant-Man Security Solutions; formerly Future Foundation (leader), Fantastic Four (leader), Defenders, Avengers, Heroes For Hire, Stark Industries","Cassandra Eleanor Lang (daughter), Ruth (sister), Carl (brother-in-law), Peggy Rae (ex-wife)","Scott Edward Harris Lang",,,,,,,,,,,,,,,,,,
32,"Anti-Monitor","88","100","50","100","100","90",,"No alter egos found.","Monitor","Moon of Qward","Crisis on Infinite Earths #4","DC Comics","bad","Male","God / Eternal","200","61.0 meters","- lb","0 kg","Yellow","No Hair","-","Qward, Antimatter Universe","Sinestro Corps, Weaponers of Qward, Thunderers of Qward, Shadow Demons","Monitor (""brother""), The Monitors","Mobius",,,,,,,,,,,,,,,,,,
33,"Anti-Spawn","null","58","null","null","null","null","Jason Wynn","No alter egos found.","Redeemer","-","Spawn #16","Image Comics","bad","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
34,"Anti-Venom","75","60","65","90","96","84","Eddie Brock","Toxin, Venom","Eddie","San Francisco, California","Amazing Spider-Man #569 (as Anti-Venom)","Toxin","-","Male","Symbiote","7'6","229 cm","795 lb","358 kg","Blue","Blond","Vigilante; former journalist for the Daily Globe","New York, New York","-","Carl Brock (father, estranged), Janine Brock (mother, deceased), Mary Brock (sister), Ann Weying (ex-wife, deceased), Symbiotes' relatives: Toxin Symbiote (current symbiote, former grandson), Venom Symbiote (former symbiote, grandfather, former brother), Agony, Phage, Riot, Lasher (uncles, former sons), Scorn (sister, former niece), Carnage (father, former son), Scream (aunt, former daughter, deceased), Hybrid (uncle, former son, deceased)","Edwin Brock",Venom,Lethal Protector,White Venom,998th,,,,,,,,,,,,,,
35,"Apocalypse","100","100","33","100","100","60","En Sabah Nur","No alter egos found.","The Eternal One","Akkaba, Egypt","X-Factor #5 (June, 1986)","Marvel Comics","bad","Male","Mutant","7'0","213 cm","300 lb","135 kg","Red","Black","Student; formerly Conqueror; Scientist","Celestial Ship, mobile","Clan Akkaba, employer of Apocalypse's Horsemen, Dark Riders, former employer of the Alliance of Evil, 198","Baal of the Crimson Sands (adopted father, deceased)","the High Lord",Set,Huitxilopochti,Sauru,Kali-Ma,,,,,,,,,,,,,,
36,"Aquababy","10","16","12","14","37","14","Arthur Curry, Jr.","No alter egos found.","-","-","Aquaman #23 (October, 1965)","DC Comics","good","Male","null","-","0 cm","- lb","0 kg","Blue","Blond","-","Atlantis","Aquaman Family","Aquaman (Orin/Arthur Curry) (father); Mera (mother); Koryak (half-brother); A.J. (half-brother); Atlan (grandfather); Tom Curry (adoptive grandfather, deceased); Orm Marius (uncle); Kordax (ancestor, deceased); Arthur Joseph Curry (adoptive cousin)",,,,,,,,,,,,,,,,,,,
37,"Aqualad","63","44","42","75","89","60","Garth","No alter egos found.","-","Poseidonis, Atlantis","Adventure Comics #269 (February, 1960)","DC Comics","good","Male","Atlantean","5'10","178 cm","235 lb","106 kg","Blue","Black","Adventurer; Magician, former Sidekick","Atlantis","Aquaman Family; formerly Black Lantern Corps, Sentinels of Magic, Teen Titans","Cerdian (son), Dolphin (wife), Berra (mother), Thar (father), Slizzath (uncle) Donna (grand-daughter)",,,,,,,,,,,,,,,,,,,
38,"Aquaman","81","85","79","80","100","80","Orin","No alter egos found.","Dweller in the Depths","Atlantis","More Fun Comics #73 (November, 1941)","DC Comics","good","Male","Atlantean","6'1","185 cm","325 lb","146 kg","Blue","Blond","Protector of the Seas and Oceans, King of Poseidonis","Atlantean Royal Palace; Poseidonis, Atlantis","Justice League, Aquaman Family, Atlantean Royal Family; formerly Black Lantern Corps, Justice League International, Justice League Detroit, U.N.","Koryak (son), Arthur Curry, Jr. (son), A.J. (son), Orm Marius (half-brother), Debbie Perkins (half-sister), Drin (adopted brother), Atlanna (mother), Atlan (father), Atlena (aunt), Porm (adopted mother), Tom Curry (adopted father), Mera (wife), Hila (sister-in-law), Haumond (uncle), Kraken (uncle), Honsu (grandfather), Lorelei (grandmother), Manu (ancestor), Nala (ancestor), Fatima (ancestor), Kalunga (ancestor), Gana (ancestor), Fiona (ancestor), Regin (ancestor), Kordax (ancestor), Bazil (ancestor), Cora (ancestor), Illya (ancestor), Dardanus (ancestor), Alloroc (ancestor), Cole (ancestor), Narmea (ancestor), Orin (ancestor), Loma (ancestor), Shalako (ancestor), Thorvall (ancestor)","Swimmer",Waterbearer,Mental Man,Aquaboy,Water Wraith,,,,,,,,,,,,,,
39,"Arachne","50","48","50","70","71","70","Julia Carpenter","No alter egos found.","Spider-Woman","Los Angeles, California","Marvel Super Heroes Secret Wars #6","Marvel Comics","good","Female","Human","5'9","175 cm","140 lb","63 kg","Blue","Blond","Adventurer, fugitive, former government agent","Mobile; formerly Denver, Colorado; formerly Avengers Compound, Los Angeles, California","Omega Flight, formerly Commission on Superhuman Activities , Freedom Force , Avengers , Secret Defenders , Force Works , Queen�s Vengeance , West Coast Avengers, Secret Avengers (Civil War)","Rachel Carpenter (daughter), Walter Cornwall (father), Elizabeth Cornwall (mother), Larry Carpenter (ex-husband, deceased)","Madame Web",,,,,,,,,,,,,,,,,,
40,"Archangel","63","13","58","64","35","42","Warren Kenneth Worthington III","Angel","War","Centerport, Long Island, New York","X-Men #1 (September, 1963)","Angel","good","Male","Mutant","6'0","183 cm","150 lb","68 kg","Blue","Blond","Adventurer, Chairman & principal stockholder of Worthington Industries, Multi-Millionaire, Heir, former terrorist","-","X-Men (founding member); X-Force; Mutantes Sans Fronti�res; Hellfire Club; formerly X-Club (founding member); Death's champions; Secret Defenders; X-Factor/X-Terminators (founding member); Horsemen of Apocalypse; Defenders; Champions of Los Angeles (fou","Wallace Worthington (paternal ancestor, deceased), Warren Worthington Sr. (paternal grandfather, deceased), Warren Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burt Worthington (paternal uncle), Mimi (maternal aunt), unnamed distant cousin","Dark Angel",Death,Avenging Angel,,,,,,,,,,,,,,,,
41,"Arclight","38","63","23","42","52","70","Philippa Sontag","No alter egos found.","-","Vietnam","(In shadow) Uncanny X-Men #210 (1986), (fully) X-Factor #10 (1986)","Marvel Comics","bad","Female","null","5'8","173 cm","126 lb","57 kg","Violet","Purple","Terrorist","-","Marauders formerly, 198, Femizons","-",,,,,,,,,,,,,,,,,,,
42,"Ardina","63","100","100","80","100","25","Ardina","No alter egos found.","-","-","The Order #4","Marvel Comics","good","Female","Alien","6'4","193 cm","218 lb","98 kg","White","Orange","-","-","-","Norrin Radd (Silver Surfer, clonal source), Clea (creator)",,,,,,,,,,,,,,,,,,,
43,"Ares","75","82","35","80","84","101",,"No alter egos found.","God of War","-","Thor #129","Marvel Comics","good","Male","null","6'1","185 cm","600 lb","270 kg","Brown","Brown","-","Avengers Tower, formerly Olympus","Avengers, Mighty Avengers, Olympic Pantheon; Warhawks","Zeus (father), Hera (mother), Enyo (wife), Deimos, Phobos, Alexander (sons), Neptune, Pluto (uncles), Demeter, Hestia (aunts), Hephaestus (brother), Apollo, Dionysus, Hercules, Hermes(half-brothers), Artemis, Pallas Athena, Venus, (half-sisters)","Mister Talon",Mars,Warhawk,,,,,,,,,,,,,,,,
44,"Ariel","50","10","12","14","94","28","Ariel","No alter egos found.","-","-","Fallen Angels #1 (1987)","Marvel Comics","good","Female","null","5'5","165 cm","130 lb","59 kg","Purple","Pink","Leader, refugee alien; former alien mutant-hunter and hedonist","-","X-Men, Formerly Fallen Angels","-",,,,,,,,,,,,,,,,,,,
45,"Armor","50","63","12","80","55","54","Hisako Ichiki","No alter egos found.","X-Girl","-","Astonishing X-Men #4 (2004)","Marvel Comics","good","Female","null","5'4","163 cm","112 lb","50 kg","Black","Black","Adventurer, student","-","X-Men, formerly: Xavier Institute Student Body, New X-Men","-","Kid",,,,,,,,,,,,,,,,,,
46,"Arsenal","null","54","null","null","null","null","Roy William Harper, Jr.","Speedy","-","-","-","Speedy","good","Male","Human","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
47,"Astro Boy","null","90","null","null","null","null","Atom","No alter egos found.","-","-","-","null","good","Male","null","-","0 cm","- lb","0 kg","Brown","Black","-","-","-","-",,,,,,,,,,,,,,,,,,,
48,"Atlas","63","80","25","100","98","50","Erik Josten","Goliath, Power Man, Smuggler","Power Man","Milwaukee, Wisconsin","Incredible Hulk #449","Goliath","good","Male","Mutant","6'0","183 cm","225 lb","101 kg","Brown","Red","Adventurer; former professional criminal, mercenary, dock worker, soldier","-","Thunderbolts, formerly Revengers, Defenders (New Jersey Initiative team), Masters of Evil, Maggia, Grim Reaper's Lethal Legion, Mandarin's Minions, Emissaries of Evil; former partner of Citizen V (Dallas Riordan) and Swordsman, Count Nefaria's Lethal Legi","Unidentified parents (deceased), Carl (brother, deceased), Conrad (brother), Lindy (sister, deceased)","Smuggler",Goliath,Shatterfist,Intruder from Beyond,Edward Jantzen,,,,,,,,,,,,,,
49,"Atlas","63","100","42","100","27","80",,"No alter egos found.","Atlas the Great","Crystal Mountain","Action Comics #121","DC Comics","bad","Male","God / Eternal","6'6","198 cm","280 lb","126 kg","Blue","Brown","-","Formely; Hyssa, Metropolis","-","-","Atlas the Untamed",,,,,,,,,,,,,,,,,,
50,"Atom","null","null","null","null","null","null","Albert Pratt","No alter egos found.","Little Superman","-","All American Comics #19","DC Comics","good","Male","null","5'10","178 cm","150 lb","68 kg","Blue","Red","Adventurer, Retired Professor of Nuclear Physics","GBS Building, Gotham City (former) Calvin College on Earth-Two","formerly Justice Society of America; formerly All-Star Squadron","Mary James (wife, deceased), Grant Albert Emerson (Damage, son), Albert Rothstein (aka Nuklon / Atom-Smasher, godson)","the Mighty Mite",,,,,,,,,,,,,,,,,,
51,"Atom","null","null","null","null","null","null",,"No alter egos found.","-","-","-","DC Comics","good","Male","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
52,"Atom Girl","38","10","23","28","38","42","Salu Digby","No alter egos found.","Shrinking Violet","-","Teen Titans/Legion Special #1 (2004)","DC Comics","good","Female","null","5'6","168 cm","120 lb","54 kg","Black","Black","-","United Planets, 31st century","Legion of Super-Heroes","-",,,,,,,,,,,,,,,,,,,
53,"Atom II","88","10","33","45","40","60","Ray Palmer","No alter egos found.","The Mighty Mite","-","Showcase #34","DC Comics","good","Male","Human","6'0","183 cm","180 lb","81 kg","Brown","Auburn","Physics Professor","Ivy Town","Justice League of America, formerly; Suicide Squad, Teen Titans","Jean Loring (ex-wife, deceased), Princess Laethwen (wife, deceased), Danny Palmer (brother, deceased), David Palmer (father), Susan Palmer (mother, deceased), David Palmer (uncle)","the Tiny Titan",the World's Smallest Hero,,,,,,,,,,,,,,,,,
54,"Atom III","null","null","null","null","null","null","Adam Cray","No alter egos found.","-","-","Suicide Squad (Volume 1) #44","DC Comics","good","Male","null","-","0 cm","- lb","0 kg","-","Red","-","-","Suicide Squad","Senator Cray (father, deceased)",,,,,,,,,,,,,,,,,,,
55,"Atom IV","null","null","null","null","null","null","Ryan Choi","No alter egos found.","-","-","Brave New World #1","DC Comics","good","Male","null","-","0 cm","160 lb","72 kg","Brown","Black","Professor of nuclear physics at Ivy University","Ivy Town","Lighter Than Air Society","Professor Choi (father); mother (deceased); sister (unnamed); Jia Choi (descendent).",,,,,,,,,,,,,,,,,,,
56,"Aurora","63","10","96","60","74","56","Jeanne-Marie Beaubier","No alter egos found.","Sister Beaubier","Montreal, Quebec, Canada","X-Men #121 (1979)","Marvel Comics","good","Female","Mutant","5'11","180 cm","140 lb","63 kg","Blue","Black","Adventurer; former terrorist, nun, history/geography teacher","Laval, Quebec, Canada","Alpha Flight, Alpha Flight (Space Program), Royal Canadian Mounted Police; formerly Weapon X, ally of the Havok's Brotherhood, Headbangers , Children of the Vault, X-Men (interim member)","Jean-Baptiste Beaubier (father, deceased), unidentified mother (deceased), Jean-Paul Beaubier (Northstar, twin brother) Joanna Beaubier (adopted niece, deceased); Lois and Genevieve Martin (first cousins once removed/adopted parents, deceased)",,,,,,,,,,,,,,,,,,,
57,"Azazel","50","11","47","95","100","80",,"No alter egos found.","Semihazah","Isla des Demonas, Caribbean Sea","Uncanny X-Men #428 (2003)","Marvel Comics","bad","Male","Neyaphem","6'0","183 cm","149 lb","67 kg","Yellow","Black","Leader of the Neyaphem","Brimstone Dimension; formerly La Isla des Demonas, Bermuda","-","Kurt Wagner (Nightcrawler, son), Nils Styger (Abyss, son), Kiwi Black (son), numberous other offspring (deceased)","Duma",Keriel,Mastema,Beliar,Gadreel,"Beelzebub","Satan",,,,,,,,,,,,
58,"Azrael","63","18","17","20","35","80","Michael Washington Lane","No alter egos found.","Bat-Devil; Bat-Ghost","Gotham City","Batman #672 (February, 2008)","DC Comics","good","Male","Human","-","0 cm","- lb","0 kg","Brown","Black","Former Police Officer, vigilante","-","Order of St. Dumas; formerly Gotham City Police Department; Three Ghosts of Batman","Mitchell Lane (father; deceased), Barbara Lane (mother; deceased), Marion Lane (brother; deceased), Gwendolyn Lane (sister; deceased), Chante Coles (wife; deceased), Henry Mitchell Lane (son; deceased), Jenny Lane (Sister-in-law)",,,,,,,,,,,,,,,,,,,
